id,path,no_cotizacion,fecha,producto,sku,descripcion,unidades,precio_p,precio_unitario,precio_cu,precio_final,similaridad,categoria_corregida,processed_description,entities,category_homol,matched_description,similarity,category_corrected
1/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Procesador,BX807019400F,Intel Core i5-9400F,1,0.0,3899.0,0.0,0.0,,,,{},CPU,,,
2/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Motherboard,B365 M AORUS ELITE,AORUS Micro ATX B365 M ELITE,1,0.0,2199.0,0.0,0.0,,,,{},MOBO,,,
3/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,GPU,GTX 1650 D6 VENTUS XS OC,"Gigabyte NVIDIA Geforce GTX 1650, 4 Gb",1,0.0,3939.0,0.0,0.0,,,,{},GPU,,,
4/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,RAM,AX4U266688G16-SB10,"Memoria RAM XPG GAMMIX D10 Black DDR4, 2666MHz, 8GB, Non-ECC, CL16, XMP",1,0.0,619.0,0.0,0.0,,,,{},RAM,,,
5/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,SSD,ASU650NS38-240GT-C,SSD Adata Ultimate SU650 240GB,1,0.0,649.0,0.0,0.0,,,,{},SSD,,,
6/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,HDD,WD20EZBX,"Western Digital WD Blue 3.5'', 2TB, SATA III, 6 Gbit/s, 5400RPM, 64MB",1,0.0,1310.08,0.0,0.0,,,,{},HDD,,,
7/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Gabinete,GAB-101K,"Gabinete Vorago GAB-101K, Midi-Tower, ATX/Micro-ATX/Mini-ITX, USB 2.0, Negro",1,0.0,649.0,0.0,0.0,,,,{},CASE,,,
8/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Fuente de Poder,MPE-5001-ACAAB,"Fuente de Poder Cooler Master MWE 500 80 PLUS Bronze, 20+4 pin ATX, 120mm, 500W",1,0.0,1119.0,0.0,0.0,,,,{},PSU,,,
9/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Lector de discos,BDR-209DBK,"Pioneer BDR-209DBK Quemador de Blu-ray, BD-R 16x / DVD+R 16x, SATA, Interno, Negro",1,0.0,1699.0,0.0,0.0,,,,{},Lector de discos,,,
10/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Monitor,27MK430H-B,"Monitor LG 27MK430H-B LED 27"", Full HD, Widescreen, FreeSync, HDMI, Negro",1,0.0,3519.0,0.0,0.0,,,,{},MONITOR,,,
11/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Webcam,960-000841,Cámara Web Logitech B525 Full HD 1080p Negro 960-000841,1,0.0,899.0,0.0,0.0,,,,{},MULTI,,,
12/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Teclado,KBG400-RD,"Teclado Gamer Game Factor KBG400 RGB, Teclado Mecánico, Switch KRED Red, Alámbrico, Negro",1,0.0,839.0,0.0,0.0,,,,{},KEYBOARD,,,
13/Cotización V-Z1-001,2021/Cotización V-Z1-001,Cotización V-Z1-001,2021-01-13,Raton,910-005793,"Mouse Gamer Logitech Óptico G203 LightSync, Alámbrico, USB, 8000DPI, Negro",1,0.0,629.0,0.0,0.0,,,,{},MOUSE,,,
1/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,Procesador,BX80684I79700,Procesador Intel Core i7-9700,1,6239.0,6239.0,0.0,0.0,,,procesador intel core i7 9700,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i7 9700']}",CPU,"Procesador Intel Core i7-9700, S-1151, 3GHz, 8-Core, 12 MB Smart Cache (9na. Generación - Coffee Lake)",0.834,
2/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,Motherboard,Z390 UD (rev. 1.0),Gigabyte Z390 Ud 1151 DDR4 Atx HDMI,1,2689.0,2689.0,0.0,0.0,0.963,,,{},MOBO,,,
3/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,GPU,04G-P4-1457-KR,EVGA NVIDIA GeForce GTX 1650 KO ULTRA Gaming,1,5169.0,5169.0,0.0,0.0,0.929,,,{},GPU,,,
4/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,RAM,AX4S266638G18-SBHT,"XPG Hunter DDR4, 2666MHz, 8GB, cl18",2,629.0,1258.0,0.0,0.0,0.947,,,{},RAM,,,
5/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,SSD,WDS240G3G0B,"Western Digital WD Green, 240GB, M.2",1,559.0,559.0,0.0,0.0,0.965,,,{},SSD,,,
6/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,HDD,WD10EZEX,"Western Digital WD Caviar Blue 3.5'', 1TB, SATA III, 6 Gbit/s, 7200RPM, 64MB Cache",1,769.0,769.0,0.0,0.0,0.955,,,{},HDD,,,
7/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,Gabinete,CYLON/BL,"Aerocool Cylon con Ventana RGB, Midi-Tower, ATX/micro ATX/mini-ITX, USB 2.0/3.0, Negro",1,889.0,889.0,0.0,0.0,0.955,,,{},CASE,,,
8/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,Fuente de Poder,PSG650,"Fuente de Poder Game Factor PSG650 80 PLUS Bronze, 20+4 pin ATX, 120mm, 650W",1,919.0,919.0,0.0,0.0,0.979,,,{},PSU,,,
9/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,2021-01-13,Disipador,RR-212E-20PK-R2,"Cooler Master Hyper 212 EVO, 120mm, 2000RPM",1,1159.0,1159.0,0.0,0.0,0.971,,,{},AIRC,,,
1/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,2021-01-14,Procesador,BX80684I79700,"Procesador Intel Core i7-9700, S-1151, 3GHz, 8-Core, 12 MB Smart Cache (9na. Generación - Coffee Lake) | BX80684I79700",1,6299.0,6299.0,0.0,0.0,,,,{},CPU,,,
2/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,2021-01-14,Motherboard,Z890 AORUS PRO ICE,"Tarjeta Madre AORUS ATX Z390 AORUS PRO WIFI, S-1151, Intel Z390, HDMI, 64GB DDR4 para Intel",1,4799.0,4799.0,0.0,0.0,,,tarjeta madre aorus atx z390 aorus pro wifi s 1151 intel z390 hdmi 64gb ddr4 intel,"{'CATEGORY': ['tarjeta madre'], 'BRAND': ['aorus'], 'SERIES': ['z390 aorus pro wifi']}",MOBO,"Tarjeta Madre AORUS Z890 AORUS PRO ICE, ATX, LGA 1851, Intel Z890, 256GB DDR5, HDMI/DP para Intel",0.782,
3/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,2021-01-14,GPU,04G-P4-1457-KR,"Tarjeta de Video EVGA NVIDIA GeForce GTX 1650 KO ULTRA Gaming, 4GB 128-bit GDDR6, PCI Express x16 3.0 | 04G-P4-1457-KR",1,5819.0,5819.0,0.0,0.0,0.952,,,{},GPU,,,
4/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,2021-01-14,RAM,AX4U26668G16-SBHT,"Memoria RAM XPG Hunter DDR4, 2666MHz, 8GB, Non-ECC, CL16, XMP | AX4U266638G16-SBHT",2,609.0,1218.0,0.0,0.0,0.957,,,{},RAM,,,
5/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,2021-01-14,SSD,WDS240G3G0B,"SSD Western Digital WD Green, 240GB, SATA III, M.2 | WDS240G2G0B",1,449.0,449.0,0.0,0.0,1,,,{},SSD,,,
6/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,2021-01-14,HDD,WD10EZEX,"Disco Duro Interno Western Digital WD Caviar Blue 3.5'', 1TB, SATA III, 6 Gbit/s, 7200RPM, 64MB Cache",1,789.0,789.0,0.0,0.0,0.988,,,{},HDD,,,
