id,path,no_cotizacion,fecha,producto,sku,descripcion,unidades,precio_p,precio_unitario,precio_cu,precio_final
1/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,Procesador,BX80684I79700,Procesador Intel Core i7-9700,1,6239,6239,0,0
2/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,Motherboard,Z390 UD (rev. 1.0),Gigabyte Z390 Ud 1151 DDR4 Atx HDMI,1,2689,2689,0,0
3/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,GPU,04G-P4-1457-KR,EVGA NVIDIA GeForce GTX 1650 KO ULTRA Gaming,1,5169,5169,0,0
4/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,RAM,AX4S266638G18-SBHT,"XPG Hunter DDR4, 2666MHz, 8GB, cl18",2,629,1258,0,0
5/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,SSD,WDS240G3G0B,"Western Digital WD Green, 240GB, M.2",1,559,559,0,0
6/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,HDD,WD10EZEX,"Western Digital WD Caviar Blue 3.5'', 1TB, SATA III, 6 Gbit/s, 7200RPM, 64MB Cache",1,769,769,0,0
7/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,Gabinete,CYLON/BL,"Aerocool Cylon con Ventana RGB, Midi-Tower, ATX/micro ATX/mini-ITX, USB 2.0/3.0, Negro",1,889,889,0,0
8/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,Fuente de Poder,PSG650,"Fuente de Poder Game Factor PSG650 80 PLUS Bronze, 20+4 pin ATX, 120mm, 650W",1,919,919,0,0
9/Cotización V-Z1-002,2021/Cotización V-Z1-002,Cotización V-Z1-002,13/01/2021,Disipador,RR-212E-20PK-R2,"Cooler Master Hyper 212 EVO, 120mm, 2000RPM",1,1159,1159,0,0
2/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,Motherboard,Z890 AORUS PRO ICE,"Tarjeta Madre AORUS ATX Z390 AORUS PRO WIFI, S-1151, Intel Z390, HDMI, 64GB DDR4 para Intel",1,4799,4799,0,0
3/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,GPU,04G-P4-1457-KR,"Tarjeta de Video EVGA NVIDIA GeForce GTX 1650 KO ULTRA Gaming, 4GB 128-bit GDDR6, PCI Express x16 3.0 | 04G-P4-1457-KR",1,5819,5819,0,0
4/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,RAM,AX4U26668G16-SBHT,"Memoria RAM XPG Hunter DDR4, 2666MHz, 8GB, Non-ECC, CL16, XMP | AX4U266638G16-SBHT",2,609,1218,0,0
5/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,SSD,WDS240G3G0B,"SSD Western Digital WD Green, 240GB, SATA III, M.2 | WDS240G2G0B",1,449,449,0,0
6/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,HDD,WD10EZEX,"Disco Duro Interno Western Digital WD Caviar Blue 3.5'', 1TB, SATA III, 6 Gbit/s, 7200RPM, 64MB Cache",1,789,789,0,0
7/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,Gabinete,CC-9011166-WW,"Gabinete Corsair SPEC-DELTA RGB con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ITX, USB 3.0, sin Fuente, Negro",1,2129,2129,0,0
8/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,Fuente de Poder,CYLON 700W,"Fuente de Poder Aerocool Cylon 700 80 PLUS Bronze, 20+4 pin ATX, 120mm, 700W",1,1129,1129,0,0
9/Cotización V-Z1-003,2021/Cotización V-Z1-003,Cotización V-Z1-003,14/01/2021,Disipador,BK005,"Disipador CPU be quiet! Shadow Rock 3, 120mm, 1600RPM, Blanco",1,1429,1429,0,0
2/Cotización V-Z1-005,2021/Cotización V-Z1-005,Cotización V-Z1-005,03/03/2021,Motherboard,90MB10J0-M0EAYC,"Tarjeta Madre ASUS Micro ATX Pro H310M-R R2.0 Wi-Fi, S-1151",1,1529,1529,0,1582.52
4/Cotización V-Z1-005,2021/Cotización V-Z1-005,Cotización V-Z1-005,03/03/2021,SSD,WDS100T2B0B,"Western Digital WD Blue 3D NAND, 1TB, M.2",1,2179,2179,0,2255.27
5/Cotización V-Z1-005,2021/Cotización V-Z1-005,Cotización V-Z1-005,03/03/2021,Disipador,MAP-T4PN-220PC-R1,"Cooler Master Master Air MA410P RGB, 120mm, 650-2000RPM, Negro",1,1039,1039,0,1075.37
6/Cotización V-Z1-005,2021/Cotización V-Z1-005,Cotización V-Z1-005,03/03/2021,Gabinete,CA-H510B-W1,"Gabinete NZXT H510 con Ventana, Midi-Tower, ATX,Micro-ATX,Mini-ATX, USB 3.1, sin Fuente, Blanco",1,1859,1859,0,1924.07
7/Cotización V-Z1-005,2021/Cotización V-Z1-005,Cotización V-Z1-005,03/03/2021,Fuente de Poder,CYLON 700W,Aerocool Cylon 700 80 PLUS Bronze,1,1189,1189,0,1230.62
8/Cotización V-Z1-005,2021/Cotización V-Z1-005,Cotización V-Z1-005,03/03/2021,Sistema Operativo,Z1INSSO10PRO,Windows 10 Pro,1,200,200,0,207
1/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,Procesador,BX8070110400F,"Procesador Intel Core i5-10400F, S-1200, 2.90GHz, Six-Core, 12MB Cache",1,3149,3149,0,3259.22
2/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,Motherboard,B460M PRO,"Tarjeta Madre MSI Micro ATX B460M PRO, S-1200, Intel B460, HDMI, 64GB DDR4 para Intel",1,1879,1879,0,1944.77
3/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,GPU,GV-N1030D5-2GL,"Gigabyte NVIDIA GeForce GT 1030, 2GB 64-bit GDDR5",1,2859,2859,0,2959.07
4/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,RAM,AX4U26668G16-SBHT,"Memoria RAM XPG Hunter BLack DDR4, 2666MHz, 8GB, CL16, XMP",1,869,869,0,899.42
5/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,SSD,WDS240G3G0B,SSD Western Digital WD Green,1,462,462,0,478.17
6/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,HDD,ST1000DM010,"Disco Duro Interno Seagate Barracuda 3.5'', 1TB, SATA III, 6 Gbit/s, 7200RPM, 64MB Cache",1,879,879,0,909.77
8/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,Fuente de Poder,PSG650,"Fuente de Poder Game Factor PSG650 80 PLUS Bronze, 20+4 pin ATX, 120mm, 650W",1,1029,1029,0,1065.02
9/Cotización V-Z1-006,2021/Cotización V-Z1-006,Cotización V-Z1-006,28/03/2021,Sistema operativo,Z1INSSO10PRO,Windows 10 Pro,1,200,200,0,207
1/Cotización V-Z1-011,2021/Cotización V-Z1-011,Cotización V-Z1-011,14/06/2021,Fuente de Poder,PSU-101,"Fuente de Poder Vorago PSU-101, ATX, 500W",1,318,318,0,329.13
1/Cotización V-Z1-012,2021/Cotización V-Z1-012,Cotización V-Z1-012,15/06/2021,Fuente de Poder,PS-TPD-0750F3FAGU-1,"Fuente de Poder Thermaltake Toughpower GF1 750W 80 PLUS Gold, 24-pin ATX, 140mm, 750W",0,2549,2549,0,2638.22
1/Cotización V-Z1-016,2021/Cotización V-Z1-016,Cotización V-Z1-016,17/06/2021,Proyector,V11H981020,"Epson Powerlite E20 H981a, Resolucion 1024x768, 1xhdmi, 1xvga, Tecnologia 3lcd, Vida De Lampara 12000 Horas",5,47495,9499,47495,0
1/Cotización V-Z1-018,2021/Cotización V-Z1-018,Cotización V-Z1-018,24/06/2021,Z1,Z1,Equipo computo,1,4178.5,4324.75,4324.75,4476.11
1/Cotización V-Z1-019,2021/Cotización V-Z1-019,Cotización V-Z1-019,26/06/2021,Procesador,BX8070110900F,"Intel Core I9-10900f Socket Lga 1200, 2.8 Ghz, 20 Mb, Disipador Incluido Si, Numero De Nucleos 10, Filamentos 20 Bx8070110900f",1,6819,6819,7057.67,7057.67
2/Cotización V-Z1-019,2021/Cotización V-Z1-019,Cotización V-Z1-019,26/06/2021,Motherboard,B460 PLUS,"Tarjeta Madre Asus Prime B460 Plus, Socket Lga 1200, 4xddr4, 6xsata, 2xm.2, 1xpcie 3.0 X16, 2xpcie 3.0, 2xpci, 1xhdmi, 1xvga, 1xdvi, Atx",1,2168.26,2168.26,2244.15,2244.15
3/Cotización V-Z1-019,2021/Cotización V-Z1-019,Cotización V-Z1-019,26/06/2021,GPU,GV-N105TD5-4GD,"Tarjeta De Video Gigabyte NVIDIA GeForce GTX 1050ti Oc, 4gb Gddr5, 128bit, 7680 X 4320 Pixeles, Pci-e X16 3.0, 1-hdmi, 1-dp, 1-dvi",1,6543.65,6543.65,6772.68,6772.68
5/Cotización V-Z1-019,2021/Cotización V-Z1-019,Cotización V-Z1-019,26/06/2021,SSD,SNVS/500G,"Ssd Kingston Technology Nv1 500 Gb, Lectura 2100 Mb/s, Escritura 1700 Mb/s, M.2",1,981.78,981.78,1016.14,1016.14
10/Cotización V-Z1-019,2021/Cotización V-Z1-019,Cotización V-Z1-019,26/06/2021,Adaptador WiFi,TL-WN881ND V2,"Adaptador Tp-link Tl-wn881nd, Verde Inalambrico Pci-e 300 Mbit/s 10 - 90% Ce, Fc",1,212.63,212.63,220.07,220.07
2/Cotización V-Z1-031,2021/Cotización V-Z1-031,Cotización V-Z1-031,23/07/2021,Motherboard,PRIME B550M-K,"Tarjeta Madre Asus Prime B550m-k, Amd Am4 3ra Gen, 4xsata, 2xm.2, 1xpcie 4.0, 2xpcie 3.0, 1xhdmi, 1xdvi, 1xvga",1,1784.41,1784.41,1846.86,1846.86
3/Cotización V-Z1-031,2021/Cotización V-Z1-031,Cotización V-Z1-031,23/07/2021,RAM,,"Memoria Ram Hyperx Fury, 8gb Ddr4, 2666mhz",1,761.97,761.97,788.64,788.64
4/Cotización V-Z1-031,2021/Cotización V-Z1-031,Cotización V-Z1-031,23/07/2021,SSD,SA400S37/240G,"Unidad De Estado Solido Ssd Kingston A400 240gb, M.2 Sata, 6gbit/s, Lectura 500mb/s",1,631.42,631.42,653.52,653.52
5/Cotización V-Z1-031,2021/Cotización V-Z1-031,Cotización V-Z1-031,23/07/2021,Gabinete,,"Gabinete Para Pc Thermaltake V100 Media Torre, Soporta T. Madre Atx, Ventana Lateral, Ventiladores Traseros 1x 120 Mm, Color Negro,",1,578.32,578.32,598.56,598.56
6/Cotización V-Z1-031,2021/Cotización V-Z1-031,Cotización V-Z1-031,23/07/2021,Fuente de Poder,xzps650b,"Fuente De Poder Xzeal Xz650, 650w, Certificado 80 Plus Bronce, Pfc Activo, Smart Fan 120mm",1,809.56,809.56,837.89,837.89
7/Cotización V-Z1-031,2021/Cotización V-Z1-031,Cotización V-Z1-031,23/07/2021,Sistema operativo,Z1INSSO10PRO,Windows 10 Pro,1,200,200,200,200
1/Cotización V-Z1-039,2021/Cotización V-Z1-039,Cotización V-Z1-039,16/08/2021,Procesador,100-100000252BOX,"Procesador Amd Ryzen 5 5600g, Skt Am4, Max Boost 4.4ghz, Base 3.9ghz, Incluye Graficos, Frecuencia De Graficos 1900ghz",1,5045.33,5045.33,5221.92,5221.92
2/Cotización V-Z1-039,2021/Cotización V-Z1-039,Cotización V-Z1-039,16/08/2021,Motherboard,90MB1620-M0EAY0,"Tarjeta Madre Asus Micro Atx Tuf Gaming B450m-plus Ii, Socket Amd Am4, 4xddr4, 6xsata, 1xm.2, 1xhdmi, 1xdvi-d Tuf Gaming B450m-plus Ii",1,1631.1,1631.1,1688.19,1688.19
3/Cotización V-Z1-039,2021/Cotización V-Z1-039,Cotización V-Z1-039,16/08/2021,RAM,,"Memoria Ram Adata Xpg Hunter, 8gb, Ddr4, 3000mhz, Cl-20-20, Disipador Negro",4,780.06,3120.24,807.36,3229.45
4/Cotización V-Z1-039,2021/Cotización V-Z1-039,Cotización V-Z1-039,16/08/2021,SSD,,"Unidad De Estado Solido Ssd M.2 Adata Swordfish Nvme, 250gb, Pci-e Gen3x4, Lectura 1800mb/s, Escritura 1200mb/s",1,600.75,600.75,621.78,621.78
5/Cotización V-Z1-039,2021/Cotización V-Z1-039,Cotización V-Z1-039,16/08/2021,HDD,WD10EZEX,"Disco Duro Western Digital Blue, Serial Ata Iii 1tb. 7200 Rpm, 64 Mb Cache.3.5",1,682.85,682.85,706.75,706.75
6/Cotización V-Z1-039,2021/Cotización V-Z1-039,Cotización V-Z1-039,16/08/2021,Gabinete,,"Gabinete Game Factor Csg502 Gaming Case, Atx, Micro Atx, Mini Itx, 3 Ventiladores 120mm Y 1 80mm, Bahias De Expansion 2x 2.5"" 2x 3.5"", Iluminacion Rgb",1,854.05,854.05,883.94,883.94
8/Cotización V-Z1-039,2021/Cotización V-Z1-039,Cotización V-Z1-039,16/08/2021,Sistema operativo,Z1INSSO10PRO,Windows 10 Pro,1,200,200,200,200
2/Cotización V-Z1-45,2021/Cotización V-Z1-45,Cotización V-Z1-45,06/09/2021,Motherboard,B450M DS3H V2,"Tarjeta Madre Gigabyte B450m Ds3h V2 Socket Am4, 4xddr4-sdram, 4xsata Iii, 4 Usb 3.0, 4 Usb 2.0, 1xhdmi, Micro Atx, (b450m Ds3h V2)",1,1329.02,1329.02,1375.54,1375.54
3/Cotización V-Z1-45,2021/Cotización V-Z1-45,Cotización V-Z1-45,06/09/2021,RAM,KF426C16BB1/16,"Memoria Ram Dimm Kingston Technology Fury Beast 16gb, 2666mhz, Ddr4, Cl16, Negro, (kf426c16bb1/16)",1,1330.47,1330.47,1377.04,1377.04
4/Cotización V-Z1-45,2021/Cotización V-Z1-45,Cotización V-Z1-45,06/09/2021,SSD,,"Unidad De Estado Solido Ssd Gigabyte 256gb, M.2 2280 Nvme, Pci-e X4",1,602.59,602.59,623.68,623.68
5/Cotización V-Z1-45,2021/Cotización V-Z1-45,Cotización V-Z1-45,06/09/2021,HDD,WD10EZEX,"Disco Duro Western Digital Blue, Serial Ata Iii 1tb. 7200 Rpm, 64 Mb Cache.3.5 """,1,676.59,676.59,700.27,700.27
6/Cotización V-Z1-45,2021/Cotización V-Z1-45,Cotización V-Z1-45,06/09/2021,Gabinete,,"Gabinete Cougar Mx410-t, Media Torre, Mini Itx, Micro Atx, Atx, Rgb, Ventana Cristal Templado, 7 Ranuras, Cgr-5vm6b-t",1,989.81,989.81,1024.45,1024.45
7/Cotización V-Z1-45,2021/Cotización V-Z1-45,Cotización V-Z1-45,06/09/2021,Fuente de Poder,BR-931168,"Fuente De Poder Balam Rush Gr450 450w, 1x20+4 Pines, 3xsata, 3xmolex, 1xp6+2, 1xp8(4+4), 80 Plus Bronce",1,649.45,649.45,672.18,672.18
8/Cotización V-Z1-45,2021/Cotización V-Z1-45,Cotización V-Z1-45,06/09/2021,Sistema operativo,Z1INSSO10PRO,Windows 10 Pro,1,0,0,0,400
