category,sku,descripcion,price,stock,old_price,price_delta,last_seen,status,category_old,familia,marca,discount,ref,processed_description,entities,category_homol
Procesadores pc,100-100000593WOF,"Procesador AMD Ryzen 5 7600X con AMD Radeon Graphics, Socket AM5, 5.3GHz, 6 Núcleos, 32MB Caché - No incluye Disipador",4009.0,15.0,4009.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 7600x amd radeon graphics socket am5 5 3ghz 6 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 7600x'], 'CACHE': ['32mb']}",CPU
Procesadores pc,100-100000065BOX,"Procesador AMD Ryzen 5 5600X, Socket AM4, 4.60GHz, 6 Núcleos, 32MB Caché - Incluye Disipador",2459.0,74.0,2459.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 5600x socket am4 4 60ghz 6 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 5600x'], 'CACHE': ['32mb']}",CPU
Procesadores pc,BX8071514400,"Procesador Intel Core i5-14400 con Intel UHD Graphics 730, LGA 1700, 4.70GHz, 10 Núcleos, 20MB Caché, Incluye Disipador - 14va. Generación Raptor Lake",3319.0,1.0,3319.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 14400 intel uhd graphics 730 lga 1700 4 70ghz 10 nucleos 20mb cache 14va generacion raptor lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 14400'], 'CACHE': ['20mb']}",CPU
Procesadores pc,BX8071512700F,"Procesador Intel Core i7-12700F, LGA 1700, 4.90GHz, 12 Núcleos, 25MB Caché, Incluye Disipador - 12va. Generación Alder Lake",4819.0,77.0,4819.0,0.0,20251004 18:54,active,,,,,,procesador intel core i7 12700f lga 1700 4 90ghz 12 nucleos 25mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i7 12700f'], 'CACHE': ['25mb']}",CPU
Procesadores pc,BX8071512900F,"Procesador Intel Core i9-12900F, LGA 1700, 5.10GHz, 16 Núcleos, 30MB Caché, Incluye Disipador - 12va. Generación Alder Lake",5249.0,124.0,5249.0,0.0,20251004 18:54,active,,,,,,procesador intel core i9 12900f lga 1700 5 10ghz 16 nucleos 30mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i9 12900f'], 'CACHE': ['30mb']}",CPU
Procesadores pc,BX80768225,"Procesador Intel Core Ultra 5 225 con Intel Graphics, LGA 1851, 4.90GHz, 10 Núcleos, 20MB Caché, No incluye Disipador - Ultra Series 2 Arrow Lake",4009.0,2.0,3999.0,0.003,20251004 18:54,active,,,,,,procesador intel core ultra 5 225 intel graphics lga 1851 4 90ghz 10 nucleos 20mb cache ultra series 2 arrow lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core ultra 5 225'], 'CACHE': ['20mb']}",CPU
Procesadores pc,100-100001084WOF,"Procesador AMD Ryzen 7 9800X3D con AMD Radeon Graphics, Socket AM5, 5.20GHz, 8 Núcleos, 96MB Caché - No incluye Disipador",9469.0,41.0,9439.0,0.003,20251004 18:54,active,,,,,,procesador amd ryzen 7 9800x3d amd radeon graphics socket am5 5 20ghz 8 nucleos 96mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 9800x3d'], 'CACHE': ['96mb']}",CPU
Procesadores pc,100-100001488BOX,"Procesador AMD Ryzen 5 5600GT con AMD Radeon Graphics, Socket AM4, 4.60GHz, 6 Núcleos, 16MB Caché - Incluye Disipador",2339.0,92.0,2339.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 5600gt amd radeon graphics socket am4 4 60ghz 6 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 5600gt'], 'CACHE': ['16mb']}",CPU
Procesadores pc,100-100001237BOX,"Procesador AMD Ryzen 5 8600G con AMD Radeon Graphics, Socket AM5, 5GHz, 6 Núcleos, 16MB Caché - Incluye Disipador",3389.0,33.0,3389.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 8600g amd radeon graphics socket am5 5ghz 6 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 8600g'], 'CACHE': ['16mb']}",CPU
Procesadores pc,100-100000931BOX,"Procesador AMD Ryzen 5 8500G con AMD Radeon Graphics, Socket AM5, 5GHz, 6 Núcleos, 16MB Caché - Incluye Disipador",2629.0,41.0,2629.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 8500g amd radeon graphics socket am5 5ghz 6 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 8500g'], 'CACHE': ['16mb']}",CPU
